,ItemName,Brand,BrandModel,Processor_Brand,Processor_Des,Processor_Gen,RAM,Storage,OS,ScreenSize_cm,Price,Discount,Star_Rating,Reviews,Ratings
320,ASUS Vivobook Core i5 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) X415EA-EB502TS Thin and Light Lapto...,ASUS ,ASUS Vivobook,Intel,Core i5,11th Gen,8 GB,256 GB SSD,64 bit Windows 10 Operating System,35.56 cm,47990.0,26,0.0,0,0
321,Lenovo IdeaPad Core i3 10th Gen - (4 GB/256 GB SSD/Windows 11 Home) 14IIL05 Laptop,Lenovo ,Lenovo IdeaPad,Intel,Core i3,10th Gen,4 GB,256 GB SSD,Windows 11 Operating System,35.56 cm,35499.0,6,4.8,1,4
322,DELL Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 10) Inspiron 3515 Thin and Light Laptop,DELL ,DELL Ryzen,AMD,Ryzen 3,,8 GB,256 GB SSD,64 bit Windows 10 Operating System,39.62 cm,38990.0,27,4.2,1,9
323,Lenovo Celeron Dual Core 4th Gen - (4 GB/256 GB SSD/Windows 11 Home) 14IGL05 Laptop,Lenovo ,Lenovo Celeron,Intel,,4th Gen,4 GB,256 GB SSD,Windows 10 Operating System,35.56 cm,30490.0,24,4.2,11,73
324,Lenovo Ideapad 5 Ryzen 7 Octa Core 5800U - (16 GB/1 TB SSD/Windows 11 Home) IdeaPad 5 Pro 14ACN6 Thin ...,Lenovo ,Lenovo Ideapad,AMD,Ryzen 7,,16 GB,1 TB SSD,64 bit Windows 11 Operating System,35.56 cm,74998.0,36,0.0,0,0
325,Lenovo IdeaPad Gaming 3 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,Lenovo ,Lenovo IdeaPad,Intel,Core i5,11th Gen,8 GB,512 GB SSD,64 bit Windows 11 Operating System,39.62 cm,72990.0,34,0.0,0,0
326,DELL INSPIRON Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) Inspiron 3501 Laptop,DELL ,DELL INSPIRON,Intel,Core i3,10th Gen,8 GB,1 TB HDD,Windows 10 Operating System,38.0 cm,39990.0,17,4.0,47,534
327,ASUS Core i3 10th Gen - (4 GB + 32 GB Optane/512 GB SSD/Windows 10 Home) X515JA-EJ372TS Thin and Light...,ASUS ,ASUS Core,Intel,Core i3,10th Gen,4 GB,512 GB SSD,64 bit Windows 10 Operating System,39.62 cm,38990.0,22,4.3,299,2588
328,ASUS VivoBook K15 OLED (2022) Ryzen 5 Hexa Core 5500U - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) KM5...,ASUS ,ASUS VivoBook,AMD,Ryzen 5,,8 GB,1 TB HDD256 GB SSD,Windows 10 Operating System,39.62 cm,54990.0,30,4.5,86,607
329,MSI GE76 Core i7 11th Gen - (32 GB/2 TB SSD/Windows 10 Home/16 GB Graphics/NVIDIA GeForce RTX 3080/360...,MSI ,MSI GE76,,,11th Gen,32 GB,2 TB SSD,64 bit Windows 10 Operating System,43.94 cm,291190.0,12,4.6,4,7
